name,n_syllable,cnt,male_cnt,female_cnt
Kenzi,2,1574,20,1554
Dante,2,18723,18646,77
Keri,2,1349,15,1334
Laila,2,25406,23,25383
Kenya,2,7496,270,7226
Lake,2,1112,892,220
Laine,2,1815,604,1211
Laken,2,2657,840,1817
Deanna,3,8431,5,8426
Makaila,3,3365,0,3365
Daniela,3,35156,73,35083
Dasani,3,1218,315,903
Darien,3,4306,3958,348
Mireya,3,3491,0,3491
Milena,3,2690,0,2690
Milani,3,1744,0,1744
Makenna,3,20820,0,20820
Milana,3,2556,0,2556
Marina,3,9781,0,9781
Darian,3,7484,6125,1359
Mikaila,3,1305,0,1305
Makenzi,3,2264,0,2264
Malaya,3,3817,0,3817
Marisa,3,9011,0,9011
Malena,3,1769,0,1769
Magali,3,1392,0,1392
Maranda,3,1850,0,1850
Mikala,3,1323,0,1323
Maliya,3,1408,0,1408
Lupita,3,1788,0,1788
Madelin,3,1348,0,1348
Maxine,3,2510,0,2510
Malina,3,1906,0,1906
Malinda,3,1184,0,1184
Madisen,3,3074,0,3074
Mariya,3,1378,0,1378
Makala,3,1726,5,1721
Monique,3,6184,0,6184
Camila,3,41978,40,41938
Camari,3,1309,792,517
Shanice,3,1234,0,1234
Shaniya,3,5128,0,5128
Shianne,3,1752,0,1752
Sumaya,3,1081,0,1081
Sunshine,3,1142,0,1142
Susana,3,3684,0,3684
Susanna,3,2651,0,2651
Suzanna,3,1326,0,1326
Serina,3,1627,0,1627
Suzanne,3,1865,0,1865
Tamiya,3,1149,0,1149
Tanisha,3,1745,0,1745
Taniya,3,4015,0,4015
Teresa,3,8989,0,8989
Tianna,3,5363,0,5363
Angela,3,39931,84,39847
Yaneli,3,1921,0,1921
Yareli,3,5941,0,5941
Yulisa,3,1309,0,1309
Aileen,3,8719,5,8714
Bianca,3,24197,20,24177
Serene,3,1042,0,1042
Serena,3,14130,0,14130
Selina,3,3830,0,3830
Nadine,3,2652,0,2652
Damien,3,27057,27012,45
Nalani,3,2178,0,2178
Natali,3,2402,0,2402
Damari,3,2877,2469,408
Nechama,3,1355,0,1355
Damani,3,1690,1283,407
Dakari,3,1291,1206,85
Reanna,3,2192,0,2192
Renata,3,3074,0,3074
Rianna,3,2241,0,2241
Sabina,3,1792,0,1792
Sabine,3,1293,0,1293
Sahana,3,1465,0,1465
Salina,3,1028,0,1028
Lianna,3,2421,0,2421
Samaya,3,1973,0,1973
Samiya,3,2602,0,2602
Saniya,3,5497,0,5497
Canaan,3,2230,2074,156
Sarina,3,3297,0,3297
Seanna,3,1075,0,1075
Selene,3,2701,0,2701
Monika,3,1409,0,1409
Samanta,3,1045,0,1045
Kamaya,3,1038,0,1038
Denali,3,1086,338,748
Sheridan,3,2164,172,1992
Sienna,3,17365,10,17355
