name,male_cnt,female_cnt
Aboubacar,220,0
Aboubakar,24,0
Abraam,37,0
Abraar,5,0
Abraham,30174,61
Abrahan,458,0
Abraheem,11,0
Abrahem,30,0
Abrahim,305,0
Abrahm,384,0
Abram,7076,0
Abran,676,0
Abrar,228,257
Abraxas,6,0
Abren,6,0
Abrham,68,0
Abrian,169,0
Abriel,227,333
Abrien,27,0
Abril,5,5367
Abron,10,0
Abrum,39,0
Absalom,42,0
Absalon,16,0
Abshir,48,0
Abtin,6,0
Abu,178,0
Abubacar,14,0
Abubacarr,15,0
Abubakar,369,0
Abubakarr,21,0
Abubakary,10,0
Abubaker,18,0
Abubakr,211,0
Abukar,28,0
Abundio,5,0
Aby,39,159
Abyan,87,28
Ac,18,0
Acamas,6,0
Acari,19,0
Access,6,0
Ace,4426,10
Acea,59,5
Acein,5,0
Acelin,93,19
Acelino,7,0
Acelyn,5,308
Acen,228,0
Aceon,22,0
Acer,30,0
Aceson,97,0
Acesyn,11,0
Aceton,39,0
Acey,37,10
Aceyn,39,0
Achai,6,0
Acheron,33,0
Achille,21,0
Achilles,1386,0
Achilleus,5,0
Achillies,60,0
Achintya,29,0
Achraf,10,0
Achyut,44,0
Achyuth,19,0
Aciano,5,0
Acie,102,22
Aciel,7,0
Ackley,8,0
Acxel,191,0
Acy,5,5
Ada,18,6624
Adae,5,0
Adael,154,0
Adagio,9,0
Adahir,50,0
Adahy,6,0
Adaiah,33,140
Adain,286,0
Adair,946,294
Adal,287,0
Adalberto,1007,0
Adali,19,306
Adalid,69,11
Adalius,9,0
Adam,97046,180
Adama,188,276
Adamo,5,0
Adams,171,0
Adan,13221,57
Adante,60,0
Adar,46,17
Adari,5,0
Adarian,148,0
Adarien,15,0
Adarion,38,0
Adarious,11,0
Adarius,599,0
Adarrius,64,0
Adarsh,405,0
Adason,5,5
Adavion,16,0
Adbeel,5,0
Adbiel,15,0
Addai,16,0
Addam,149,0
Addan,21,0
Adden,103,0
Addicus,5,0
Addiel,51,0
Addis,86,44
Addisen,6,964
Addison,4624,93783
Addix,5,0
Addy,11,688
Addyson,33,12480
Ade,89,5
Adean,23,0
Adebayo,20,0
Adedamola,86,0
Adedayo,21,0
Adedeji,20,0
Adedotun,5,0
Adeeb,138,0
Adeel,112,0
Adeen,5,0
Adein,35,0
Adekunle,13,0
Adel,582,212
Adelaido,7,0
Adeleke,5,0
Adelfo,44,0
Adeline,5,12041
Adelyn,6,8932
Adem,472,0
Ademar,6,0
Ademide,21,5
Ademir,23,0
Ademola,60,0
Aden,15250,420
Adeniyi,5,0
Adenn,12,0
Adeola,18,143
Adeolu,10,0
Adeoluwa,42,0
Adeon,6,0
Aderemi,6,0
Adesh,17,0
Adetayo,5,0
Adetokunbo,11,0
Adewale,37,0
Adeyemi,32,0
Adham,416,0
Adharsh,16,0
Adhav,24,0
Adheesh,5,0
Adhem,11,0
Adhemar,13,0
Adhiraj,6,0
Adhithya,6,0
Adhitya,12,0
Adhrit,134,0
Adhrith,19,0
Adhvaith,23,0
Adhvik,81,0
Adi,364,415
Adian,879,0
Adib,116,0
Adiel,948,77
Adien,344,0
Adikus,5,0
Adil,603,0
Adilson,39,0
Adin,2006,86
Adir,122,0
Adis,158,0
Adisa,10,77
Adison,399,2676
Adisson,5,76
Adit,218,0
Adith,82,0
Adithya,435,0
Aditya,3497,5
Adiv,20,0
Adiyan,20,0
Adlai,191,45
Adlan,5,0
Adlar,5,0
Adler,1249,131
Adley,194,1149
Admir,133,0
Adnaan,37,0
Adnan,1158,0
Adnel,5,0
Adner,12,0
Adniel,10,0
Adolfo,4716,0
Adolph,122,0
Adolpho,5,0
Adolphus,75,0
Adom,67,0
Adomas,6,0
Adon,466,0
Adonai,443,144
Adonay,237,0
Adoni,60,0
Adoniah,24,14
Adonias,98,0
Adonijah,273,15
Adoniram,21,0
Adonis,3988,8
Adonnis,195,0
Adontae,7,0
Adonte,79,0
Adonus,21,0
Adony,10,0
Adonys,79,0
Adore,13,136
Adorian,65,0
Adorion,6,0
Adrain,455,0
Adran,5,0
Adrean,390,40
Adreian,21,0
Adrein,45,0
Adren,125,0
Adreon,23,0
Adreyan,84,0
Adri,20,108
Adriaan,56,0
Adrial,25,0
Adrian,101187,2476
Adriana,64,38257
Adriane,99,410
Adrianjames,11,0
Adriann,85,210
Adrianna,12,24886
Adrianne,10,1626
Adrianno,8,0
Adriano,1177,0
Adric,213,0
Adrick,125,0
Adriean,18,0
Adriel,5726,379
Adriell,44,0
Adrien,4000,301
Adriene,12,173
Adrienn,7,5
Adrienne,87,6016
Adrik,320,0
Adrin,114,0
Adrion,283,0
Adris,5,0
Adrith,6,0
Adrius,18,0
Adriyan,32,0
Adriyel,22,0
Adron,82,0
Adryan,727,115
Adryel,60,0
Adryen,78,0
Adryn,20,6
Adryon,15,0
Advait,296,0
Advaith,402,0
Advay,268,0
Advik,357,0
Advit,19,0
Advith,27,0
Adwaith,5,0
Adwin,45,0
Adyan,265,0
Adyant,16,0
Adyen,66,0
Adym,5,0
Adyn,1091,114
Adynn,63,17
Adyson,28,3445
Aedan,2694,43
Aeddon,26,0
Aeden,858,7
Aedin,166,0
Aedon,127,0
Aedric,14,0
Aedyn,453,59
Aeiden,10,0
Aemon,28,0
Aeneas,273,0
Aengus,112,0
Aeon,45,46
Aerian,5,0
Aeric,54,0
Aerick,10,0
Aerik,63,0
Aerin,11,444
Aerion,84,0
Aerius,7,0
Aero,96,17
Aeron,257,11
Aeryn,23,804
Aeson,229,0
Aesop,12,0
Aethan,37,0
Aevin,15,0
Aeyden,8,0
Afeef,11,0
Affaan,5,0
Affan,200,0
Afif,5,0
Afnan,65,232
Afolabi,10,0
Afonso,5,0
Afraz,37,0
Aftab,20,0
Afton,246,1191
Afzal,8,0
Agam,109,76
Agamjot,23,0
Agape,10,44
Agapito,36,0
Agasthya,25,0
Agastya,291,0
Agel,5,0
Agent,5,0
Agha,6,0
Agostino,78,0
Agrim,16,0
Agron,5,0
Agustin,4353,0
Agustine,86,0
Agustus,128,0
Ahaan,193,0
Ahad,262,0
Ahadu,26,0
Ahamad,18,0
Ahamed,38,0
Ahan,143,0
Ahanu,6,0
Aharon,843,0
Aharshi,5,0
Ahaziah,5,0
Ahian,6,0
Ahijah,67,0
Ahir,5,0
Ahkai,6,0
Ahkeem,78,0
Ahkil,5,0
Ahking,9,0
Ahlias,25,0
Ahlijah,41,0
Ahmaad,211,0
Ahmad,7689,0
Ahmadou,73,0
Ahmaj,10,0
Ahman,144,0
Ahmani,54,286
Ahmar,127,0
Ahmare,23,0
Ahmari,623,251
Ahmarion,67,0
Ahmaud,155,0
Ahmauri,15,0
Ahmed,6970,0
Ahmeer,39,0
Ahmeir,28,0
Ahmer,26,0
Ahmere,123,0
Ahmet,318,0
Ahmi,38,5
Ahmier,25,0
Ahmik,12,0
Ahmir,1269,5
Ahmire,18,0
Ahmod,145,0
Ahmon,119,0
Ahmond,10,0
Ahnaf,201,0
Ahren,356,0
Ahrian,9,0
Ahron,434,0
Ahsan,282,0
Ahsen,6,0
Ahsir,6,0
Ahyan,97,0
Ahzir,21,0
Aian,5,0
Aibel,6,0
Aicen,5,0
Aidan,92600,1804
Aidanjames,6,0
Aidanjohn,5,0
Aidann,10,0
Aidar,5,0
Aiddan,17,0
Aidden,254,0
Aidean,23,0
Aideen,34,92
Aiden,156175,1542
Aidenjames,62,0
Aidenjoseph,5,0
Aidenmatthew,5,0
Aidenmichael,5,0
Aidenn,144,0
Aideyn,14,0
Aidian,141,0
Aidien,5,0
Aidin,574,12
Aidon,414,0
Aidrian,40,0
Aidric,317,0
Aidrick,14,0
Aidrik,20,0
Aidyen,5,0
Aidyn,2955,643
Aidynn,61,64
Aiedan,5,0
Aieden,11,0
Aiham,5,0
Aiiden,40,0
Aijahlon,5,0
Aijalon,73,58
Aikeem,6,0
Aiken,190,0
Ailan,6,0
Aileen,5,8714
Ailin,5,727
Ailton,62,0
Aiman,151,66
Aimar,115,114
Aime,10,548
Aimen,21,31
Aimon,41,0
Ainesh,11,0
Ainsley,154,11045
Airam,82,497
Airan,5,0
Airen,88,55
Aireon,33,5
Aires,25,7
Airic,16,0
Airick,15,0
Airik,25,0
Airin,5,10
Airion,5,0
Airis,5,88
